"Código SIEX";"Código";"Categoría";"Nombre científico";"EPPO cd";"Observaciones";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"1";"Malas hierbas";"Malas hierbas";"3WEEDT";"No se incluyen en este grupo las plantas criptógamas (no productoras de semillas), entre las cuales están los pteridofitos (helechos, equisetos y afines), las algas, los musgos y las hepáticas (grupos 2, 3, 4 y 5).";13/04/2023;;
"2";"1.1";"Dicotiledóneas, malas hierbas de hoja ancha";"Dicotiledóneas, malas hierbas de hoja ancha";"3DICOT";"No se incluyen en este grupo las dicotiledóneas leńosas, acuáticas,  y parásitas (grupos 1.3, 1.4 y 1.5).";13/04/2023;;
"3";"1.1.1";"Dicotiledóneas anuales";"Dicotiledóneas anuales";"3ANDIT";"No se incluyen en este grupo las dicotiledóneas acuáticas,  y parásitas (grupos 1.4 y 1.5).";13/04/2023;;
"4";"1.1.1.1";"Amarantáceas anuales";"Amaranthaceae";"1AMAG, only annual species";;13/04/2023;;
"5";"1.1.1.1.1";"Bledos, Amaranthus spp.";"Amaranthus spp.";"1AMAG";"Se incluyen especies del género Amaranthus como A.blitoides, A.retroflexus, A,albus, A.hybridus y A.palmeri.";13/04/2023;;
"6";"1.1.1.2";"Boragináceas anuales";"Boraginaceae";"1BORF, only annual species";;13/04/2023;;
"7";"1.1.1.2.1";"Mijo del sol, Buglossoides arvensis";"Buglossoides arvensis";"LITAR";;13/04/2023;;
"8";"1.1.1.2.2";"Tornasol, Heliotropium europaeum";"Heliotropium europaeum";"HEOEU";;13/04/2023;;
"9";"1.1.1.3";"Cariofiláceas anuales";"Caryophyllaceae";"1CAFF, only annual species";;13/04/2023;;
"10";"1.1.1.3.1";"Pamplina, hierba gallinera, Stellaria media";"Stellaria media";"STEME";;13/04/2023;;
"11";"1.1.1.4";"Compuestas anuales";"Compositae";"1COMF, only annual species";;13/04/2023;;
"12";"1.1.1.4.1";"Magarza, Anacyclus clavatus";"Anacyclus clavatus";"ANYCL";;13/04/2023;;
"13";"1.1.1.4.2";"Manzanilla bastarda, Anthemis arvensis";"Anthemis arvensis";"ANTAR";;13/04/2023;;
"14";"1.1.1.4.3";"Cadillo, amor seco, Bidens pilosa";"Bidens pilosa";"BIDPI";;13/04/2023;;
"15";"1.1.1.4.4";"Maravilla silvestre, Calendula arvensis";"Calendula arvensis";"CLDAR";;13/04/2023;;
"16";"1.1.1.4.5";"Centaureas, Centaurea spp.";"Centaurea spp.";"1CENG";"Se incluyen especies del género Centaurea como C.cyanus, C.solstitialis y C.calcitrapa.";13/04/2023;;
"17";"1.1.1.4.6";"Achicoria amarga, Chondrilla juncea";"Chondrilla juncea";"CHOJU";;13/04/2023;;
"18";"1.1.1.4.7";"Achicoria, Cichorium intybus";"Cichorium intybus";"CICIN";;13/04/2023;;
"19";"1.1.1.4.8";"Giralda, Coleostephus myconis";"Coleostephus myconis";"CHYMY";;13/04/2023;;
"20";"1.1.1.4.9";"Coniza, erigeron, Conyza spp.";"Conyza spp.";"1CNDG";"Se incluyen especies del género Conyza como C.canadensis y C.bonariensis.";13/04/2023;;
"21";"1.1.1.4.10";"Galinsoga cuadriradiata";"Galinsoga cuadriradiata";"GASCI";;13/04/2023;;
"22";"1.1.1.4.11";"Crisantemos, Glebionis spp.";"Glebionis spp.";"1GBNG";"Se incluyen especies del género Glebionis como G.segetum y G.coronaria.";13/04/2023;;
"23";"1.1.1.4.12";"Ricio de girasol, Helianthus annuus";"Helianthus annuus";"NNNVO, sunflower";"Rebrotes de cultivos anteriores";13/04/2023;;
"24";"1.1.1.4.13";"Lechuguinos, Lactuca spp.";"Lactuca spp.";"1LACG";"Se incluyen especies del género Lactuca como L.serriola, L.viminea, L.virosa, L.saligna y L.tenerrima.";13/04/2023;;
"25";"1.1.1.4.14";"Matricaria spp.";"Matricaria spp.";"1MATG";"Se incluyen especies del género Matricaria como M.chamomilla y M.discoidea.";13/04/2023;;
"26";"1.1.1.4.15";"Raspasayos, Picris echioides";"Picris echioides";"PICEC";;13/04/2023;;
"27";"1.1.1.4.16";"Hierba cana, Senecio vulgaris";"Senecio vulgaris";"SENVU";;13/04/2023;;
"28";"1.1.1.4.17";"Cerrajas, Sonchus spp.";"Sonchus spp.";"SONOL";"Se incluyen especies del género Sonchus como S.oleraceus y S.tenerrimus.";13/04/2023;;
"29";"1.1.1.4.18";"Aster, Symphyotrichum squamatum";"Symphyotrichum squamatum";"ASTSQ";;13/04/2023;;
"30";"1.1.1.4.19";"Cachurrera menor, Acanthoxanthium spinosum";"Acanthoxanthium spinosum";"XANSP";"Hasta hace poco se incluía dentro del género Xanthium.";13/04/2023;;
"31";"1.1.1.4.20";"Cadillo, Xanthium strumarium";"Xanthium strumarium";"XANST";;13/04/2023;;
"32";"1.1.1.5";"Crucíferas anuales";"Cruciferae";"1CRUF, only annual species";;13/04/2023;;
"33";"1.1.1.5.1";"Camelina, Camelina sativa";"Camelina sativa";"CMASA";;13/04/2023;;
"34";"1.1.1.5.2";"Zurrón de pastor, Capsella bursa-pastoris";"Capsella bursa-pastoris";"CAPBP";;13/04/2023;;
"35";"1.1.1.5.3";"Mastuerzo menor, Cardamine hirsuta";"Cardamine hirsuta";"CARHI";;13/04/2023;;
"36";"1.1.1.5.4";"Draba, Cardaria draba";"Cardaria draba";"CADDR";;13/04/2023;;
"37";"1.1.1.5.5";"Cervellinas, Coronopus spp.";"Coronopus spp.";"COPDI";"Se incluyen especies del género Coronopus como C.didymus y C.squamatus.";13/04/2023;;
"38";"1.1.1.5.6";"Ajenjo loco, Descurainia sophia";"Descurainia sophia";"DESSO";;13/04/2023;;
"39";"1.1.1.5.7";"Jaramagos, Diplotaxis spp.";"Diplotaxis spp.";"1DIPG";"Se incluyen especies del género Diplotaxis como D.erucoides, D,muralis, D.virgata y D.catholica.";13/04/2023;;
"40";"1.1.1.5.8";"Rábano silvestre, Raphanus raphanistrum";"Raphanus raphanistrum";"RAPRA";;13/04/2023;;
"41";"1.1.1.5.9";"Rabaniza, Rapistrum rugosum";"Rapistrum rugosum";"RASRU";;13/04/2023;;
"42";"1.1.1.5.10";"Mostazas silvestres, Sinapis spp.";"Sinapis spp.";"SINAR";"Se incluyen especies del género Sinapis como S.alba y S.arvensis";13/04/2023;;
"43";"1.1.1.5.11";"Erisimo, Sisymbrium officinale";"Sisymbrium officinale";"SSYOF";;13/04/2023;;
"44";"1.1.1.6";"Cucurbitáceas anuales";"Cucurbitaceae";"1CUCF, only annual species";;13/04/2023;;
"45";"1.1.1.6.1";"Pepinillo del diablo, Ecballium elaterium";"Ecballium elaterium";"ECAEL";;13/04/2023;;
"46";"1.1.1.7";"Escrofulariáceas anuales";"Scrophulariaceae";"1SCPF, only annual species";;13/04/2023;;
"47";"1.1.1.7.1";"Verónica, hierba gallinera, Veronica spp.";"Veronica spp.";"1VERG";"Se incluyen especies anuales del género Veronica como V.hederifolia, V.polita, V.persica y V.arvensis.";13/04/2023;;
"48";"1.1.1.8";"Euforbiáceas anuales";"Euphorbiaceae";"1EUPF, only annual species";;13/04/2023;;
"49";"1.1.1.8.1";"Tornasol, Chrozophora tinctoria";"Chrozophora tinctoria";"CRZTI";;13/04/2023;;
"50";"1.1.1.8.2";"Euforbias, lechetreznas, Euphorbia spp.";"Euphorbia spp.";"1EPHG";"Se incluyen especies anuales del género Euphorbia como E.helioscopia.";13/04/2023;;
"51";"1.1.1.8.3";"Mercurial, Mercurialis annua";"Mercurialis annua";"MERAN";;13/04/2023;;
"52";"1.1.1.9";"Geraniáceas anuales";"Geraniaceae";"1GERF, only annual species";;13/04/2023;;
"53";"1.1.1.9.1";"Agujas de pastor, Erodium spp.";"Erodium spp.";"1EROG";"Se incluyen especies del género Erodium como E.ciconium, E.cicutarium y E.malocoides.";13/04/2023;;
"54";"1.1.1.9.2";"Agujas de pastor, Geranium spp.";"Geranium spp.";"1GERG";"Se incluyen especies del género Geranium como G.molle y G.rotundifolium.";13/04/2023;;
"55";"1.1.1.10";"Leguminosas anuales";"Leguminosae";"1LEGF, only annual species";;13/04/2023;;
"56";"1.1.1.10.1";"Alverjas, Lathyrus spp. (especies anuales)";"Lathyrus spp.";"1LTHG, only annual species";"Se incluyen especies anuales del género Lathyrus como L.clymenum, L.aphaca y L.hirsutus.";13/04/2023;;
"57";"1.1.1.10.2";"Cornejones, Coronilla spp.";"Coronilla spp.";"1CZRG";"Se incluyen especies anuales del género Coronilla como C.scorpioides y C.repanda susbp.dura.";13/04/2023;;
"58";"1.1.1.10.3";"Altramuces, Lupinus spp.";"Lupinus spp.";"1LUPG";"Se incluyen especies del género Lupinus como L.angustifolius y L.hispanicus.";13/04/2023;;
"59";"1.1.1.10.4";"Carretones, alfalfas, Medicago spp. (especies anuales)";"Medicago spp.";"1MEDG, only annual species";"Se incluyen especies anuales del género Medicago como M.lupulina, M.polymorpha, M.arabica y M.minima.";13/04/2023;;
"60";"1.1.1.10.5";"Melilotos, Melilotus spp.";"Melilotus spp.";"1MEUG";"Se incluyen especies anuales del género Melilotus como M.albus y M.spicatus.";13/04/2023;;
"61";"1.1.1.10.6";"Hierbas del alacrán, Scorpiurus spp.";" Scorpiurus spp.";"1SCSG";"Se incluyen especies del género Scorpiurus como S.muricatus, S.sulcatus y S.vermiculatus.";13/04/2023;;
"62";"1.1.1.10.7";"Tréboles, Trifolium spp. (especies anuales)";"Trifolium spp.";"1TRFG, only annual species";"Se incluyen especies anuales del género Trifolium como T.campestre, T arvense y T.angustifolium.";13/04/2023;;
"63";"1.1.1.10.8";"Vezas, Vicia spp.";"Vicia spp.";"1VICG";"Se incluyen especies anuales del género Vicia como V.villosa y V.sativa.";13/04/2023;;
"64";"1.1.1.11";"Malváceas anuales";"Malvaceae";"1MALF, only annual species";;13/04/2023;;
"65";"1.1.1.11.1";"Abutilon, Abutilon theophrasti";"Abutilon theophrasti";"ABUTH";;13/04/2023;;
"66";"1.1.1.11.2";"Malvas, Malva spp. (especies anuales)";"Malva spp.";"1MALG, only annual species";"Se incluyen especies anuales del género Malva como M.parviflora y M.hispanica.";13/04/2023;;
"67";"1.1.1.12";"Onagráceas anuales";"Onagraceae";"1ONAF, only annual species";;13/04/2023;;
"68";"1.1.1.12.1";"Epilobio, Epilobium brachycarpum";"Epilobium brachycarpum";"EPIPC";;13/04/2023;;
"69";"1.1.1.13";"Papaveráceas anuales";"Papaveraceae";"1PPAF, only annual species";;13/04/2023;;
"70";"1.1.1.13.1";"Celidonia, Chelidonium majus";"Chelidonium majus";"CHQMA";;13/04/2023;;
"71";"1.1.1.13.2";"Conejitos, Fumaria spp.";"Fumaria spp.";"1FUMG";"Se incluyen especies del género Fumaria como F.capreolata, F.parviflora y F.officinalis.";13/04/2023;;
"72";"1.1.1.13.3";"Amapolas, Papaver spp.";"Papaver spp.";"1PAPG";"Se incluyen especies del género Papaver como P.rhoeas. P.argemone, P.dubium y P.hybridum.";13/04/2023;;
"73";"1.1.1.14";"Poligonáceas anuales";"Polygonaceae";"1POLF, only annual species";;13/04/2023;;
"74";"1.1.1.14.1";"Polígono trepador, Fallopia convolvulus";"Fallopia convolvulus";"POLCO";;13/04/2023;;
"75";"1.1.1.14.2";"Polígonos, Polygonum spp.";"Polygonum spp.";"1POLG";"Se incluyen especies del género Polygonum  como P.aviculare, P.arenastrum, P.persicaria y P.lapathifolium.";13/04/2023;;
"76";"1.1.1.15";"Portulacáceas anuales";"Portulacaceae";"1PORF, only annual species";;13/04/2023;;
"77";"1.1.1.15.1";"Verdolaga, Portulaca oleracea";"Portulaca oleracea";"POROL";;13/04/2023;;
"78";"1.1.1.16";"Primuláceas anuales";"Primulaceae";"1PRIF, only annual species";;13/04/2023;;
"79";"1.1.1.16.1";"Murajes, Anagallis arvensis";"Anagallis arvensis";"ANGAR";;13/04/2023;;
"80";"1.1.1.17";"Quenopodiáceas anuales";"Chenopodiaceae";"1CHES, only annual species";;13/04/2023;;
"81";"1.1.1.17.1";"Armuelle, Atriplex patula";"Atriplex patula";"ATXPA";;13/04/2023;;
"82";"1.1.1.17.2";"Mirabel, Bassia scoparia";"Bassia scoparia";"KCHSC";;13/04/2023;;
"83";"1.1.1.17.3";"Cenizos, Chenopodium spp.";"Chenopodium spp.";"1CHEG";"Se incluyen especies del género Chenopodium  como Ch.album, Ch.vulvaria y Ch.murale.";13/04/2023;;
"84";"1.1.1.17.4";"Barrilla pinchosa, Salsola kali";"Salsola kali";"SASKA";;13/04/2023;;
"85";"1.1.1.18";"Rubiáceas anuales";"Rubiaceae";"1RUBF, only annual species";;13/04/2023;;
"86";"1.1.1.18.1";"Amor del hortelano, Galium spp.";"Galium spp.";"1GALG";"Se incluyen especies del género Galium como G.aparine, G.tricornutum y G.verrucosum.";13/04/2023;;
"87";"1.1.1.19";"Solanáceas anuales";"Solanaceae";"1SOLF, only annual species";;13/04/2023;;
"88";"1.1.1.19.1";"Estramonio, Datura stramonium";"Datura stramonium";"DATST";;13/04/2023;;
"89";"1.1.1.19.2";"Salpichroa origanifolia";"Salpichroa origanifolia";"SAPOR";;13/04/2023;;
"90";"1.1.1.19.3";"Hierba mora, Solanum nigrum";"Solanum nigrum";"SOLNI";;13/04/2023;;
"91";"1.1.1.20";"Umbelíferas anuales";"Umbelliferae";"1UMBF, only annual species";;13/04/2023;;
"92";"1.1.1.20.1";"Ameo, visnaga, Ammi spp.";"Ammi spp.";"1AMIG";"Se incluyen especies del género Ammi como A.majus y A.visnaga.";13/04/2023;;
"93";"1.1.1.20.2";"Cilantro menor, Bifora testiculata";"Bifora testiculata";"BIFTE";;13/04/2023;;
"94";"1.1.1.20.3";"Cadillo, cachurrera, Caucalis platycarpos";"Caucalis platycarpos";"CUCLA";;13/04/2023;;
"95";"1.1.1.20.4";"Zanahoria silvestre, Daucus carota";"Daucus carota";"DAUCA";;13/04/2023;;
"96";"1.1.1.20.5";"Neldo, Ridolfia segetum";"Ridolfia segetum";"CRYRI";;13/04/2023;;
"97";"1.1.1.20.6";"Peine de Venus, Scandix pecten-veneris";"Scandix pecten-veneris";"SCAPV";;13/04/2023;;
"98";"1.1.1.20.7";"Tordillo, Tordylium maximum";"Tordylium maximum";"TORMA";;13/04/2023;;
"99";"1.1.1.20.8";"Cachurros, Torilis spp.";"Torilis spp.";"1TOIG";"Se incluyen especies del género Torilis como T.arvensis, T.japonica, T.leptophylla y T.nodosa.";13/04/2023;;
"100";"1.1.1.21";"Urticáceas anuales";"Urticaceae";"1URTF, only annual species";;13/04/2023;;
"101";"1.1.1.21.1";"Ortiga, Urtica urens";"Urtica urens";"URTUR";;13/04/2023;;
"102";"1.1.1.22";"Zigofiláceas anuales";"Zygophyllaceae";"1ZYGF, only annual species";;13/04/2023;;
"103";"1.1.1.22.1";"Abrojos, Tribulus terrestris";"Tribulus terrestris";"TRBTE";;13/04/2023;;
