"Código SIEX";"Código";"Categoría";"Nombre científico / Denominación en inglés";"EPPO cd";"Observaciones";Fecha de alta;Fecha de modificación;Fecha de baja
"1";"12";"Reguladores de crecimiento";"Plant growth regulator";"3PGRST";;10/10/2024;10/10/2024;
"2";"12.1";"Estimulación actividad vegetativa";"PGR growth stimulation";"3PGWST";;10/10/2024;10/10/2024;
"3";"12.10";"Adelanto maduración del cultivo";"PGR fruit ripening stimulation";"3PURST";"Productos para la inducción de la maduración del cultivo (no para post-cosecha).";10/10/2024;10/10/2024;
"4";"12.11";"Retraso  maduración del cultivo";"PGR fruit ripening inhibition";"3PURIT";"Productos para la inhición de la maduración del cultivo (no para post-cosecha).";10/10/2024;10/10/2024;
"5";"12.12";"Adelanto apertura cápsulas";"PGR cotton ripening stimulation";"3PURST, cotton";;10/10/2024;10/10/2024;
"6";"12.13";"Estimulación abcisión del pedúnculo";"PGR fruit drop stimulation";"3PUDST, olives harvesting";;10/10/2024;10/10/2024;
"7";"12.14";"Retraso maduración en productos recolectados";"PGR inhibition of premature fruit ripening";"3PIPFT";"Productos para la inhibición de la maduración de productos recolectados (no para el cutivo).";10/10/2024;10/10/2024;
"8";"12.15";"Inducción de maduración en productos recolectados";"Increase of fruit-ripening";"YREIF";;10/10/2024;10/10/2024;
"9";"12.16";"Mejora de calidad de fruto";"PGR fruit quality improvement";"3PUQIT";;10/10/2024;10/10/2024;
"10";"12.17";"Homogeneización maduración";"PGR fruit quality improvement, ripening homogeneity";"3PUQIT, ripening homogeneity";"Idem";10/10/2024;10/10/2024;
"11";"12.18";"Homogeneización tamańo frutos";"PGR fruit quality improvement, fruit homogeneity";"3PUQIT, fruit homogeneity";"Idem";10/10/2024;10/10/2024;
"12";"12.19";"Aumento peso del fruto";"PGR fruit quality improvement, weight";"3PUQIT, weight";"Idem";10/10/2024;10/10/2024;
"13";"12.2";"Disminución crecimiento vegetativo";"PGR growth reduction";"3PGWRT";;10/10/2024;10/10/2024;
"14";"12.20";"Incremento tamańo cápsula";"PGR fruit quality improvement, cotton boll size";"3PUQIT,  cotton boll size";"Idem";10/10/2024;10/10/2024;
"15";"12.21";"Alargamiento de la uva";"PGR fruit quality improvement, grapes length increase";"3PUQIT, grapes length increase";"Idem";10/10/2024;10/10/2024;
"16";"12.22";"Inducción alargamiento del racimo";"PGR fruit quality improvement, grapes bunch length increase";"3PUQIT, grapes bunch length increase";"Idem";10/10/2024;10/10/2024;
"17";"12.23";"Aumento de brillo";"PGR fruit quality improvement, brightness";"3PUQIT, brightness";"Idem";10/10/2024;10/10/2024;
"18";"12.24";"Mantenimiento acidez de frutos";"PGR fruit quality improvement, acidity";"3PUQIT, acidity";"Idem";10/10/2024;10/10/2024;
"19";"12.25";"Mantenimiento firmeza de frutos";"PGR fruit quality improvement, consistency";"3PUQIT, consistency";"Idem";10/10/2024;10/10/2024;
"20";"12.26";"Mantenimiento frescura de frutos";"PGR fruit quality improvement, freshness";"3PUQIT, freshness";"Idem";10/10/2024;10/10/2024;
"21";"12.27";"Mejora consistencia piel";"PGR fruit quality improvement, peel consistency";"3PUQIT, peel consistency";"Idem";10/10/2024;10/10/2024;
"22";"12.28";"Reducción del escaldado";"Chilling injury reduction";"?";;10/10/2024;10/10/2024;
"23";"12.29";"Reducir russeting";"Russeting reduction";"3PIRUT";;10/10/2024;10/10/2024;
"24";"12.3";"Incremento producción";"Increase of yield";"YERTR";;10/10/2024;10/10/2024;
"25";"12.30";"Inhibición brotación";"PGR sprout inhibition";"3PSPIT";"Productos para inhibir la brotación de bulbos y tubérculos en almacén.";10/10/2024;10/10/2024;
"26";"12.31";"Inhibición de brotes axilares en tabaco";"PGR branching inhibition, tobacco";"3PBRIT, tobacco";;10/10/2024;10/10/2024;
"27";"12.32";"Supresión de rebrotes / varetas";"Kill of suckers";"YEXST";"Productos para la eliminación de rebrotes, chupones o varetas de árboles y arbustos.";10/10/2024;10/10/2024;
"28";"12.33";"Reducción tamańo de brotes";"PGR stalk length reduction";"3PSLRT";;10/10/2024;10/10/2024;
"29";"12.34";"Inducción enraizamiento";"PGR root growth estimulation";"3PRGST";;10/10/2024;10/10/2024;
"30";"12.35";"Reducción choque transplante";"Avoid transplant damage";"?";;10/10/2024;10/10/2024;
"31";"12.36";"Reducción efecto de heladas";"PGR winter hardiness";"3PWIHT";;10/10/2024;10/10/2024;
"32";"12.37";"Reducción encamado fisiológico";"PGR prevention of lodging";"3PPLOT";;10/10/2024;10/10/2024;
"33";"12.38";"Prevención desecación planta";"Avoid plant desiccation";"?";;10/10/2024;10/10/2024;
"34";"12.39";"Desecante del cultivo";"PGR desiccant";"3PDEST";;10/10/2024;10/10/2024;
"35";"12.4";"Estimulación floración";"PGR flower stimulation";"3PFWST";;10/10/2024;10/10/2024;
"36";"12.5";"Inhibición floración";"PGR flowering inhibition";"3PFWIT";;10/10/2024;10/10/2024;
"37";"12.6";"Aclareo floración";"PGR flower drop stimulation";"3PFDST";;10/10/2024;10/10/2024;
"38";"12.7";"Aumento de cuajado";"PGR fruit set stimulation";"3PUSST";;10/10/2024;10/10/2024;
"39";"12.8";"Inhibición caída de frutos";"Fruit drop inhibition";"3PUDIT";;10/10/2024;10/10/2024;
"40";"12.9";"Aclareo frutos";"PGR fruit drop stimulation";"3PUDST";;10/10/2024;10/10/2024;
"41";"13";"Cicatrización heridas";"Treatment of wounds";"3WOUNO";;10/10/2024;10/10/2024;
"42";"13.1";"Cicatrización heridas de granizo";"Hail injury treatment";"MEHAIL";;10/10/2024;10/10/2024;
"43";"13.2";"Cicatrización heridas de injerto";"Treatment of graft wounds";"3WOUNO, graft";;10/10/2024;10/10/2024;
"44";"13.3";"Cicatrización heridas de poda";"Treatment of pruning  wounds";"3WOUNO, pruning";;10/10/2024;10/10/2024;
"45";"13.4";"Cicatrización heridas de recolección";"Treatment of harvesting wounds";"3WOUNO, harvesting";;10/10/2024;10/10/2024;
"46";"14";"Coadyuvante";"Coadjuvant";"?";;10/10/2024;10/10/2024;
"47";"15";"Diluyente";"Diluent";"?";;10/10/2024;10/10/2024;
"48";"16";"Mojante";"Wetting";"?";;10/10/2024;10/10/2024;
"49";"17";"Repelente de fauna silvestre";"Wild vertebrate animals repellent";"?";;10/10/2024;10/10/2024;
"50";"18";"Roedores";"Rodents";"AADDXX";;10/10/2024;10/10/2024;
"51";"18.1";"Topillos, Microtus spp.";"Microtus spp.";"1MICRG";;10/10/2024;10/10/2024;
"52";"18.2";"Rata topera, Arvicola terrestris";"Arvicola terrestris";"ARVCTE";;10/10/2024;10/10/2024;
"53";"18.3";"Ratón doméstico, Mus musculus";"Mus musculus";"MUSXMU";;10/10/2024;10/10/2024;
"54";"18.4";"Topillos, Pitymys spp.";"Pitymys spp.";"1PITMG";;10/10/2024;10/10/2024;
"55";"18.5";"Ratas, Rattus spp.";"Rattus spp.";"1RATTG";;10/10/2024;10/10/2024;
"56";"19";"Topos, Talpa europaea";"Talpa europaea";"TALPEU";;10/10/2024;10/10/2024;
