"Código UNE";"Descripción"
"060104000";"Desplazadores de hojas (aspiradoras / sopladoras)"
"060202000";"Equipos antiheladas"
"060203000";"Equipos de lucha contra incendios"
"060301000";"Equipos para desinfección del suelo"
"060302000";"Equipos para desinfección de semillas"
"060303011";"Pulverizadores hidráulicos de barras horizontales"
"060303012";"Pulverizadores hidráulicos de barras verticales"
"060303013";"Pulverizadores hidráulicos de mochila"
"060303015";"Pulverizadores hidráulicos de alta presión"
"060303021";"Pulverizadores hidroneumáticos con colector y deflectores"
"060303022";"Pulverizadores hidroneumáticos con salidas de aire independientes"
"060303023";"Pulverizadores hidroneumáticos con salidas tipo cańón"
"060303031";"Pulverizadores neumáticos con salidas independientes"
"060303032";"Pulverizadores neumáticos con salidas tipo cańón"
"060303033";"Pulverizadores neumáticos con compresor"
"060303041";"Pulverizadores centrífugos de barras"
"060303042";"Pulverizadores centrífugos para aplicación en bandas"
"060303043";"Pulverizadores centrífugos con ventilador"
"060303044";"Pulverizadores centrífugos manuales"
"060303045";"Pulverizadores centrífugos para aeronaves"
"060303050";"Pulverizadores térmicos"
"060303060";"Pulverizadores electrodinámicos"
"060303070";"Humectadores"
"060303080";"Espolvoreadores"
"060303090";"Distribuidores de microgránulos"
"060305000";"Extendedores de redes (mallas)"
"060306000";"Distribuidores de repelentes"
"060401000";"Empalizadoras de vińedos"
"060403000";"Levantadoras de vińa"
"060404000";"Clavadoras de postes"
"060406000";"Desbrotadora"
"060407000";"Despuntadora"
"060501000";"Esparcidores de residuos (paja)"
"060502000";"Desenrolladores de láminas de plástico"
"060701000";"Marcadores"
"060702000";"Bombas de pistón"
"060703000";"Bombas de membrana"
"060900000";"Otros equipos para cuidado y protección de plantas"
"060901000";"Raspadores de troncos"
"0610100_88";"Recortadoras"
"0610200_88";"Material para injertar"
"0610300_88";"Material de poda"
"0610310_88";"Tijeras de podar"
"0610320_88";"Cortadoras de setos"
"0610330_88";"Prepodadoras"
"0610340_88";"Trituradoras de residuos de cosecha y poda"
"0610350_88";"Castradores"
"0610360_88";"Electrocutores para remolacha subida"
"0610370_88";"Quemadores de residuos vegetales"
"0610400_88";"Desplazadores de hojas (aspiradoras / sopladoras)"
"0620100_88";"Equipos antigranizo"
"0620200_88";"Equipos antiheladas"
"0620300_88";"Equipos de lucha contra incendios"
"0630100_88";"Desinfectadoras del suelo"
"0630200_88";"Desinfectadoras de semillas"
"0630300_88";"Aplicadores de productos fitosanitarios"
"0630310_88";"Pulverizadores hidráulicos"
"0630311_88";"Pulverizadores hidráulicos de carretilla (ar. Manual)"
"0630320_88";"Pulverizadores hidroneumáticos (atomizadores)"
"0630330_88";"Pulverizadores neumáticos"
"0630340_88";"Pulverizadores centrífugos"
"0630350_88";"Pulverizadores térmicos"
"0630360_88";"Pulverizadores electrodinámicos"
"0630380_88";"Espolvoreadores"
"0630390_88";"Distribuidores de microgránulos"
"0630500_88";"Mallas"
"0630600_88";"Distribuidores de repelentes"
"0630700_88";"Trampas para insectos"
"0640000_88";"Equipos para montaje de espalderas"
"0640400_88";"Clavadoras de postes"
"0650100_88";"Esparcidores de residuos vegetales (mulching)"
"0650200_88";"Desenrolladores de plástico"
"0650300_88";"Enrolladores de láminas de plástico"
"0690000_88";"Otros equipos para cuidado y prot. de plantas"
"070101011";"Segadoras de barra simple"
"070101012";"Segadoras de  doble barra"
"070101021";"Segadoras de discos"
"070101022";"Segadoras de mayales"
"070101023";"Segadoras de tambores"
"070101024";"Segadoras mixtas (discos-tambores)"
"070102000";"Equipos de siega y acondicionado"
"070103000";"Acondicionadores"
"070104010";"Henificadores"
"070104021";"Hileradores de soles"
"070104022";"Hileradores de rotores"
"070104023";"Hileradores de cintas"
"070104030";"Otros rastrillos"
"070105021";"Picadoras cargadoras móviles de mayales"
"070105022";"Picadoras cargadoras móviles de doble corte"
"070105023";"Picadoras cargadoras móviles de volante de cuchillas"
"070105024";"Picadoras cargadoras móviles de tambor de cuchillas"
"070106020";"Empacadoras convencionales"
"070106031";"Macroempacadora de baja densidad"
"070106032";"Macroempacadora de alta densidad"
"070106041";"Rotoempacadoras de cámara fija"
"070106042";"Rotoempacadoras envolvedoras de cámara fija"
"070106043";"Rotoempacadoras de cámara variable"
"070106044";"Rotoempacadoras envolvedoras de cámara variable"
"070107010";"Cargadoras de pacas"
"070107020";"Remolques autocargadores de pacas"
"070107030";"Agrupadoras de pacas"
"070108000";"Segadoras de césped"
"070109000";"Envolvedoras de pacas"
"070110000";"Equipos para descarga de pacas"
"070111000";"Ensiladoras"
"070201000";"Atadoras"
"070202000";"Espigadoras (recogedoras de granos o espigas)"
"070203000";"Cosechadoras de cereales"
"070204010";"Cabezal para recogida de girasol"
"070204020";"Cabezales recogedores de maíz"
"070204030";"Cabezales para cereal de invierno"
"070206000";"Barras de corte"
"070301010";"Arrancadoras de patatas"
"070301020";"Cosechadoras de patatas"
"070301030";"Cargadoras de patatas"
"070302011";"Descoronadoras arrancadoras de remolacha"
"070302020";"Arrancadoras de remolacha"
"070302030";"Cosechadoras de remolacha"
"070302040";"Cargadoras de remolacha"
"070302050";"Recogedoras-cargadoras de remolacha"
"070303000";"Recogedoras de raíces hortícolas"
"070304000";"Recogedoras de raíces forrajeras"
"070305010";"Recogedoras, arrancadoras atadoras de ajos"
"070401010";"Cosechadoras de algodón (cápsulas)"
"070401020";"Cosechadoras de algodón (fibra)"
"070402000";"Recogedoras de lino"
"070403000";"Recogedoras de cáńamo"
"070404000";"Recogedoras de kenaf"
"070405000";"Recogedoras de yute"
"070406000";"Recogedoras de sisal"
"070409000";"Recogedoras de otras plantas textiles"
"070501000";"Vibradores de árboles"
"070502000";"Redes recogedoras de frutas"
"070503000";"Plataformas de recogida"
"070504000";"Barredoras de fruta caída"
"070505000";"Recogedoras de fruta de mesa (mesas de recogida)"
"070506011";"Vendimiadoras autopropulsadas"
"070506012";"Vendimiadoras arrastradas"
"070506020";"Tolvas basculantes para vendimia"
"070506030";"Remolques para vendimia"
"070601010";"Recogedoras de vainas secas"
"070601020";"Recogedoras de legumbres verdes"
"070602000";"Recogedoras de hortalizas de hoja"
"070603000";"Recogedoras de hortalizas de fruto"
"070701000";"Máquinas para recolección de lavanda y espliego"
"070702000";"Máquinas para recolección de flores aromáticas"
"070703000";"Máquinas para recolección de plantas ornamentales"
"070704000";"Máquinas para recolección de plantas medicinales"
"070801010";"Motosierras"
"070801020";"Derribadoras forestales"
"070802000";"Desramadoras forestales"
"070803000";"Máquinas para descortezado"
"070804000";"Máquinas para troceado"
"070805000";"Máquinas para la saca de árboles"
"070806000";"Máquinas forestales combinadas"
"070901000";"Máquinas recogedoras de tabaco"
"070902000";"Máquinas recogedoras de té"
"070903000";"Cosechadoras de cańa de azúcar"
"070904000";"Máquinas para recogida de lúpulo"
"070909000";"Otros equipos de recolección"
"0710100_88";"Segadoras (guadańadoras)"
"0710200_88";"Segadoras acondicionadoras de forraje"
"0710300_88";"Acondicionadores de forraje"
"0710400_88";"Rastrillos hileradores y aireadores"
"0710500_88";"Picadoras cargadoras de forraje"
"0710600_88";"Recogedoras-empacadoras"
"0710610_88";"Empacadoras de baja densidad"
"0710620_88";"Empacadoras convencionales"
"0710630_88";"Empacadoras de grandes pacas prismáticas"
"0710640_88";"Empacadoras de pacas cilíndricas"
"0710650_88";"Empastilladoras"
"0710700_88";"Cargadores de forraje (en pacas o en masa)"
"0710710_88";"Cargadoras de pacas"
"0710720_88";"Autocargadores de forraje"
"0710800_88";"Segadoras de césped"
"0710900_88";"Envolvedoras de pacas"
"0711100_88";"Ensiladora"
"0720100_88";"Atadoras de mies"
"0720200_88";"Espigadoras (recogedoras de granos o espigas)"
"0720300_88";"Cosechadoras de cereales"
"0720400_88";"Recogedoras de mazorcas"
"0720500_88";"Cabezales recogida cereales"
"0720510_88";"Cabezal recogida girasol"
"0730100_88";"Recogedoras de patata"
"0730110_88";"Arrancadoras de patatas"
"0730120_88";"Cosechadoras de patata"
"0730200_88";"Recogedoras de remolacha"
"0730210_88";"Descoronadoras de remolacha"
"0730211_88";"Descoronadoras arrancadoras de remolacha"
"0730220_88";"Arrancadoras de remolacha"
"0730230_88";"Cosechadoras de remolacha"
"0730240_88";"Cargadoras de remolacha"
"0730250_88";"Arrancadoras cargadoras de remolacha"
"0730300_88";"Recogedoras de raíces hortícolas"
"0730400_88";"Recogedoras de raíces forrajeras"
"0730500_88";"Otros equipos para rec. de rizomas, bulbos y tubérculos"
"0740100_88";"Recogedoras de algodón"
"0740110_88";"Cosechadoras de algodón (cápsulas)"
"0740120_88";"Cosechadoras de algodón (fibra)"
"0740200_88";"Recogedoras de lino"
"0740300_88";"Recogedoras de cáńamo"
"0740400_88";"Recogedoras de kenaf"
"0740500_88";"Recogedoras de yute"
"0740600_88";"Recogedoras de sisal"
"0750100_88";"Vibradores de árboles"
"0750200_88";"Redes recogedoras de fruta"
"0750300_88";"Plataformas para recogida de frutas"
"0750400_88";"Recogedoras de frutos del suelo (barredoras y aspirad.)"
"0750500_88";"Cosechadoras de frutas de mesa"
"0750600_88";"Vendimiadoras"
"0760100_88";"Recogedoras de legumbres"
"0760110_88";"Recogedoras de vainas secas"
"0760120_88";"Recogedoras de legumbres verdes"
"0760200_88";"Recogedoras de hortalizas de hoja (lechuga y espinaca)"
"0760300_88";"Recogedoras de hortalizas de frutos (tomate, melón, etc.)"
"0770100_88";"Recogedoras de lavanda y espliego"
"0770200_88";"Recogedoras de otras plantas aromáticas"
"0770300_88";"Recogedoras de plantas ornamentales"
"0770400_88";"Recogedoras de plantas medicinales"
"0780100_88";"Taladoras forestales"
"0780110_88";"Motosierras"
"0780120_88";"Derribadores forestales"
"0780200_88";"Desramadoras forestales"
"0780220_88";"Derribadores forestales"
"0780300_88";"Descortezadoras forestales"
"0780400_88";"Trozadoras forestales"
"0780500_88";"Sacadores forestales"
"0780600_88";"Procesadoras forestales"
"0790100_88";"Recogedoras de tabaco"
"0790200_88";"Recogedoras de té"
"0790300_88";"Cosechadoras de cańa de azúcar"
"0790400_88";"Recogedoras de lúpulo"
"0799000_88";"Otros equipos de recolección"
"080101000";"Máquinas para trilla y desgranado"
"080102000";"Peladoras de almendras"
"080206000";"Limpiadoras de frutas"
"080504000";"Astilladoras"
"080900000";"Otros equipos de post-recolección"
"0810100_88";"Trilladoras"
"0820100_88";"Limpiadoras de granos y semillas"
"0820200_88";"Limpiadoras de tubérculos y raíces"
"0820300_88";"Limpiadoras y pulidoras de raíces hortícolas"
"0820500_88";"Limpiadoras y pulidoras de bulbos"
"0820600_88";"Limpiadoras de fruta"
"0830100_88";"Seleccionadoras de granos y semillas"
"0830500_88";"Seleccionadoras de bulbos"
"0840100_88";"Secadores de cosecha"
"0840300_88";"Aplicadores de productos químicos gaseosos"
"0840400_88";"Aplicadores de productos químicos no gaseosos"
"0840600_88";"Equipos de refrigeración y congelación"
"0840700_88";"Equipos para la regulación de la iluminación"
"0840800_88";"Equipos de irradiación"
"0850100_88";"Sierras"
"0850200_88";"Desenrolladores de troncos"
"0850300_88";"Tableadoras de madera"
"0850400_88";"Astilladoras"
"0890000_88";"Otros equipos de post-recolección"
"090101010";"Cargadores frontales para tractor"
"090101020";"Cargadores posteriores para tractor"
"090102000";"Grúas montadas sobre tractor"
"090103010";"Manipuladoras telescópicas"
"090103020";"Carretillas elevadoras"
"090103030";"Cargadora"
"090201000";"Camiones agrícolas (tractocarros)"
"090202000";"Vagonetas-volquetes"
"090203020";"Remolques cisterna"
"090203030";"Remolques plataforma para el transporte de maquinaria"
"090203040";"Remolques caja abierta"
"090203050";"Remolques jaula ganadera"
"090203060";"Remolques portacontenedores"
"090203070";"Remolques bańera"
"090203080";"Remolque de forraje y ensilaje"
"090204000";"Transportadores autocargadores"
"090205000";"Transportadores autodescargadores"
"090206000";"Transportadores autocargadores y autodescargadores"
"090207000";"Barras porta-aperos"
"090301000";"Elevadores y transportadores"
"090302000";"Equipos para descarga"
"090401000";"Vagonetas y carretillas sobre raíles"
"090402000";"Transportadores motorizados"
"090403000";"Carretillas motorizadas"
"090404000";"Transportadores móviles (portátiles)"
"090502010";"Cisternas de agua"
"090900000";"Otros equipos de transporte"
"0910100_88";"Cargadores para tractor"
"0910200_88";"Grúas para tractor"
"0910300_88";"Cargadoras automotrices"
"0920100_88";"Tractocarros"
"0920200_88";"Vagonetas-volquetes"
"0920300_88";"Remolques agrícolas"
"0930100_88";"Elevadores y transportadores"
"0930200_88";"Desensiladoras"
"0940100_88";"Vagonetas aéreas"
"0940400_88";"Cintas transportadoras"
"0950100_88";"Tolvas"
"0950400_88";"Almacenes"
"0960000_88";"Equipos para transvase de líquidos"
"0970000_88";"Equipos para transvase de gases"
"0990000_88";"Carretillas y otros equip.,manip.,transpot.,almacenam."
"100102000";"Calefactores"
"100103000";"Equipos de iluminación"
"100301000";"Molinos y trituradores"
"100302000";"Mezcladores"
"100303000";"Trituradores y mezcladores combinados"
"100306000";"Empastilladoras (prensas, aglomeradoras)"
"100307000";"Picadores de pacas"
"100308000";"Picadoras"
"100309000";"Cortadoras-picadoras de raíces"
"100311010";"Desensiladoras de silos trinchera"
"100402000";"Distribuidores de alimentos líquidos"
"100403000";"Remolques para la preparación y distribución de alimentos"
"100404000";"Remolques distribuidores de piensos"
"100405000";"Esparcidores-distribuidores de paja y forraje"
"100501000";"Distribuidores de alimentos voluminosos"
"100502000";"Distribuidores de concentrados"
"100503010";"Unifeed autopropulsados"
"100503020";"Unifeed remolcados"
"100900000";"Otros equipos para producción animal"
"1010100_88";"Incubadoras"
"1010300_88";"Equipos de iluminación"
"1020200_88";"Aguijones eléctricos"
"10203021";"Tractores de ruedas no articulados de doble tracción ancho normal"
"10203030";"Tractores de ruedas no articulados de más de dos ejes motrices"
"1020600_88";"Une desconocido"
"1030100_88";"Molinos y trituradores"
"1030200_88";"Mezcladoras de piensos"
"1030300_88";"Trituradoras y mezcladoras combinadas de piensos"
"1030400_88";"Equipos para incorporación de aditivos"
"1030500_88";"Equipos para preparación de alimentos líquidos"
"1030700_88";"Picadoras de pacas"
"1030800_88";"Picadoras de forraje en granja"
"1030900_88";"Cortadoras-picadoras de raíces"
"1031000_88";"Cocedoras"
"1031100_88";"Cámaras para tratamiento de paja con amoniaco"
"1031200_88";"Equipos para producción de forraje hidropónico"
"1050100_88";"Distribuidores de alimentos voluminosos"
"1050200_88";"Distribuidores de concentrados"
"1050300_88";"Equipos de desensilado, mezcla, transporte y distribución"
"1050400_88";"Controladores electrónicos de dosific.individ.alimentos"
"1070100_88";"Equipos para identificación de animales"
"1070200_88";"Equipos zoosanitarios"
"1090000_88";"Otros equipos para producción animal"
"110400000";"Equipos para limpieza de granjas"
"110702000";"Chasis para remolques"
"110800000";"Grupos electrógenos"
"110900000";"Otros equipos de la explotación agraria"
"1110000_88";"Equipos e instrumentos de medida y registro"
"111200000";"Sistemas de recolección robotizada"
"1140000_88";"Equipos para limpieza y mantenimiento de locales"
"1150000_88";"Equipos para evac.y tratam.de deyec.y residuo"
"1190000_88";"Otros equipos de la explotación agraria"
